BIN,height_roof,update,delta
5170702,0,32,32
5170704,0,32,32
5171164,0,32,32
5172030,0,32,32
5172075,0,32,32
5174839,0,32,32
5175242,0,32,32
1003693,0,31,31
1003795,155,186,31
1090631,256,287,31
1090839,0,31,31
1090871,0,31,31
2011743,25,56,31
3000675,33,64,31
3002826,32,63,31
3006581,22,53,31
3008748,0,31,31
3031519,37,68,31
3033569,56,87,31
3044592,19,50,31
3061289,18,49,31
3073991,27,58,31
3100923,28,59,31
3116661,320,289,31
3139179,27,58,31
3139497,27,58,31
3139887,26,57,31
3140181,25,56,31
3249143,0,31,31
3251744,30,61,31
3322370,13,44,31
3332121,17,48,31
3332279,25,56,31
3342327,24,55,31
3422628,0,31,31
3423608,49,80,31
3424373,0,31,31
3426628,44,13,31
4004807,14,45,31
4010601,26,57,31
4066258,0,31,31
4095654,0,31,31
4115121,18,49,31
4121656,0,31,31
4136689,0,31,31
4542359,0,31,31
4570898,0,31,31
4593335,0,31,31
4596156,163,132,31
4596909,0,31,31
4607428,0,31,31
4607439,0,31,31
4607440,0,31,31
4607443,0,31,31
4607449,0,31,31
4607459,0,31,31
4607462,0,31,31
4607466,0,31,31
4607489,0,31,31
4607554,0,31,31
4607862,0,31,31
4607926,0,31,31
4609754,11,42,31
4614735,0,31,31
4617489,0,31,31
4617727,0,31,31
4618158,0,31,31
4618366,0,31,31
4620491,0,31,31
5031632,0,31,31
5041793,0,31,31
5042981,0,31,31
5046276,0,31,31
5064681,0,31,31
5074091,0,31,31
5077690,0,31,31
5142134,0,31,31
5162251,0,31,31
5162252,0,31,31
5164130,0,31,31
5164377,0,31,31
5164378,0,31,31
5164379,0,31,31
5164745,0,31,31
5164748,0,31,31
5164749,0,31,31
5164750,0,31,31
5164816,0,31,31
5164818,0,31,31
5164821,0,31,31
5164851,0,31,31
5164870,0,31,31
5164915,0,31,31
5164916,0,31,31
5164983,0,31,31
5165075,0,31,31
5165076,0,31,31
5166020,0,31,31
5166377,0,31,31
5166729,0,31,31
5166854,0,31,31
5170115,0,31,31
5170529,0,31,31
5170592,0,31,31
5172051,0,31,31
1013986,37,67,30
1060740,18,48,30
1090803,265,295,30
2001588,29,59,30
2003421,21,51,30
2011742,26,56,30
2094840,0,30,30
2124540,0,30,30
2127841,15,45,30
2128724,0,30,30
3011860,19,49,30
3014448,29,59,30
3044670,26,56,30
3056359,25,55,30
3136911,34,64,30
3139795,29,59,30
3139869,24,54,30
3398283,0,30,30
3398284,0,30,30
3400453,70,40,30
3414224,0,30,30
3426016,0,30,30
4007479,33,63,30
4060983,15,45,30
4111894,0,30,30
4112156,19,49,30
4156716,0,30,30
4163489,0,30,30
4290300,0,30,30
4542966,0,30,30
4586835,0,30,30
4596265,0,30,30
4605126,0,30,30
4607438,0,30,30
4607445,0,30,30
4607465,0,30,30
4607515,0,30,30
4615072,0,30,30
4615141,0,30,30
4615142,0,30,30
4618324,0,30,30
4618325,0,30,30
4619541,0,30,30
4619875,0,30,30
4620210,0,30,30
4623358,0,30,30
5048690,0,30,30
5151744,0,30,30
5158554,0,30,30
5162249,0,30,30
5164709,0,30,30
5164746,0,30,30
5164817,0,30,30
5164914,0,30,30
5164932,85,55,30
5164936,0,30,30
5165007,0,30,30
5165320,0,30,30
5165321,0,30,30
5165827,0,30,30
5165828,0,30,30
5166021,0,30,30
5166022,0,30,30
5166375,0,30,30
5166376,0,30,30
5166447,0,30,30
5167637,0,30,30
5169750,0,30,30
1001363,75,104,29
1090215,0,29,29
1090428,0,29,29
1090429,0,29,29
1090852,0,29,29
2092092,42,71,29
2117694,131,102,29
2124541,0,29,29
2127132,0,29,29
2128572,0,29,29
2129276,0,29,29
3023671,32,61,29
3054940,37,66,29
3069342,27,56,29
3072195,21,50,29
3073780,30,59,29
3119822,0,29,29
3135552,26,55,29
3140867,29,58,29
3143795,29,58,29
3325256,0,29,29
3387565,48,19,29
3396880,32,61,29
3398273,0,29,29
3398274,0,29,29
3398275,0,29,29
3398276,0,29,29
3398277,0,29,29
3398278,0,29,29
3398279,0,29,29
3398280,0,29,29
3398281,0,29,29
3398282,0,29,29
3398285,0,29,29
3398286,0,29,29
3398287,0,29,29
3398288,0,29,29
3398311,0,29,29
3398312,0,29,29
3398313,0,29,29
3399243,0,29,29
3399244,0,29,29
3399245,0,29,29
3399246,0,29,29
3399247,0,29,29
3399248,0,29,29
3399249,0,29,29
3418440,0,29,29
3425441,0,29,29
4101069,10,39,29
4109436,0,29,29
4109856,0,29,29
4109931,0,29,29
4112157,20,49,29
4112158,21,50,29
4115159,19,48,29
4116395,23,52,29
4139360,0,29,29
4163490,0,29,29
4283531,0,29,29
4542474,0,29,29
4596262,0,29,29
4596263,0,29,29
4597136,0,29,29
4607793,0,29,29
4607795,0,29,29
4607796,0,29,29
4607797,0,29,29
4615624,0,29,29
5000817,0,29,29
5050220,0,29,29
5158649,0,29,29
5159660,0,29,29
5162250,0,29,29
5164136,0,29,29
5166155,173,202,29
5166659,0,29,29
5167636,0,29,29
5169361,0,29,29
5170714,0,29,29
1060647,41,69,28
1060648,41,69,28
1090394,0,28,28
1091671,637,609,28
2127118,0,28,28
2127120,0,28,28
2129476,0,28,28
3028067,0,28,28
3062260,26,54,28
3069573,41,69,28
3138463,28,56,28
3152412,27,55,28
3398247,0,28,28
3398248,0,28,28
3398249,0,28,28
3398250,0,28,28
3398254,0,28,28
3398255,0,28,28
3398271,0,28,28
3398272,0,28,28
3398296,0,28,28
3398297,0,28,28
3398298,0,28,28
3398299,0,28,28
3398300,0,28,28
3398301,0,28,28
3398302,0,28,28
3398303,0,28,28
3398304,0,28,28
3398305,0,28,28
3398306,0,28,28
3398310,0,28,28
3398314,0,28,28
3398315,0,28,28
3398316,0,28,28
3398317,0,28,28
3398318,0,28,28
3398319,0,28,28
3398320,0,28,28
3398321,0,28,28
3398322,0,28,28
3398327,0,28,28
3398328,0,28,28
3398329,0,28,28
3398330,0,28,28
3398331,0,28,28
3399847,0,28,28
3404457,0,28,28
3404458,0,28,28
3404460,0,28,28
3414031,75,47,28
3424503,0,28,28
3426640,70,42,28
4081137,25,53,28
4107006,0,28,28
4120952,0,28,28
4125090,0,28,28
4139905,0,28,28
4257275,0,28,28
4439706,0,28,28
4558802,0,28,28
4594886,0,28,28
4596005,0,28,28
4596282,0,28,28
4597133,0,28,28
4597134,0,28,28
4597135,0,28,28
4605112,0,28,28
4607794,0,28,28
4608529,0,28,28
4617328,0,28,28
4619512,0,28,28
5089051,0,28,28
5089052,0,28,28
5158769,0,28,28
5162225,0,28,28
5162226,0,28,28
5162227,0,28,28
5162228,0,28,28
5163147,0,28,28
5164894,0,28,28
5164903,0,28,28
5165012,0,28,28
5165014,0,28,28
5165015,0,28,28
5169151,0,28,28
5170594,0,28,28
5170825,0,28,28
5171966,0,28,28
5171982,0,28,28
2026604,0,27,27
2127116,0,27,27
2128043,0,27,27
3006577,28,55,27
3071878,31,58,27
3319652,0,27,27
3336719,44,71,27
3345540,0,27,27
3398256,0,27,27
3398257,0,27,27
3398259,0,27,27
3398260,0,27,27
3398261,0,27,27
3398262,0,27,27
3398263,0,27,27
3398264,0,27,27
3398265,0,27,27
3398266,0,27,27
3398267,0,27,27
3398268,0,27,27
3398269,0,27,27
3398270,0,27,27
3398307,0,27,27
3398308,0,27,27
3398309,0,27,27
3398323,0,27,27
3398324,0,27,27
3398325,0,27,27
3398326,0,27,27
3404462,0,27,27
3404488,0,27,27
3404489,0,27,27
3424219,0,27,27
3426432,24,51,27
4106594,0,27,27
4108215,0,27,27
4315046,0,27,27
4595009,0,27,27
4595624,0,27,27
4595625,0,27,27
4595960,0,27,27
4597000,0,27,27
4608537,0,27,27
4615138,0,27,27
4617667,0,27,27
5141150,0,27,27
5165013,0,27,27
5165149,0,27,27
5166424,0,27,27
5166789,0,27,27
5169033,0,27,27
5170593,0,27,27
5171162,0,27,27
5171243,0,27,27
5171937,0,27,27
2116430,70,96,26
2129202,55,81,26
3072699,25,51,26
3378589,0,26,26
3404490,0,26,26
3404492,0,26,26
3404493,0,26,26
3418355,0,26,26
3418359,0,26,26
3418361,0,26,26
3418363,0,26,26
3418364,0,26,26
4010639,26,52,26
4105334,0,26,26
4255714,0,26,26
4262509,0,26,26
4265187,0,26,26
4292583,0,26,26
4449052,0,26,26
4538351,19,45,26
4546959,0,26,26
4594832,0,26,26
4594887,0,26,26
4595485,0,26,26
4596243,0,26,26
4596259,0,26,26
4607354,0,26,26
4607385,0,26,26
4607444,0,26,26
4607580,0,26,26
4607803,0,26,26
4617679,0,26,26
4619686,0,26,26
4619844,0,26,26
4620222,0,26,26
4798014,0,26,26
5087028,0,26,26
5122848,0,26,26
5164613,0,26,26
5164797,0,26,26
5165087,0,26,26
5165195,0,26,26
5169201,0,26,26
5799504,0,26,26
1090246,0,25,25
1090379,203,228,25
1090431,0,25,25
1090678,60,85,25
2057549,0,25,25
2100650,0,25,25
2124512,0,25,25
3083395,0,25,25
4038757,0,25,25
4055648,0,25,25
4105385,0,25,25
4152834,0,25,25
4312683,0,25,25
4529866,0,25,25
4541623,0,25,25
4542024,11,36,25
4542179,97,72,25
4594833,0,25,25
4594843,0,25,25
4596251,0,25,25
4607350,0,25,25
4607380,0,25,25
4607383,0,25,25
4607398,0,25,25
4607405,0,25,25
4607460,0,25,25
4607645,0,25,25
4615139,0,25,25
4620153,0,25,25
5165802,0,25,25
5799516,0,25,25
1013789,41,65,24
1090778,0,24,24
3009288,15,39,24
4068860,0,24,24
4543417,0,24,24
4543419,0,24,24
4585500,0,24,24
4596105,0,24,24
4607454,0,24,24
4607540,0,24,24
4615332,0,24,24
4615779,0,24,24
4619357,72,96,24
4619412,0,24,24
4620462,0,24,24
5062071,0,24,24
1090248,0,23,23
3329825,119,142,23
4114969,0,23,23
4596102,0,23,23
4607352,0,23,23
4607386,0,23,23
4607393,0,23,23
4607399,0,23,23
4618575,154,177,23
5053472,0,23,23
5109098,0,23,23
3085904,0,22,22
3213337,0,22,22
3325606,0,22,22
3425282,0,22,22
3425283,0,22,22
3425832,0,22,22
4543418,0,22,22
4549397,0,22,22
4596244,0,22,22
4607382,0,22,22
4607446,0,22,22
4617680,0,22,22
4619846,0,22,22
4619847,0,22,22
5154837,0,22,22
5166676,0,22,22
5170004,0,22,22
5170614,0,22,22
1090160,0,21,21
1090202,385,406,21
1090837,0,21,21
1090840,0,21,21
2028346,0,21,21
2128757,0,21,21
3135417,0,21,21
3338586,0,21,21
3425593,0,21,21
3425676,225,246,21
3426300,511,532,21
4430918,31,52,21
4458633,0,21,21
4596247,0,21,21
4614937,0,21,21
4615057,0,21,21
4619845,0,21,21
5036681,0,21,21
5084690,0,21,21
5164798,0,21,21
5164867,0,21,21
5164868,0,21,21
5171923,0,21,21
1088067,0,20,20
1089878,0,20,20
1090425,0,20,20
1090635,162,182,20
2129297,55,35,20
3102447,0,20,20
3129630,39,59,20
3421405,0,20,20
3425827,0,20,20
4546499,0,20,20
4597124,0,20,20
4615115,0,20,20
4615232,0,20,20
4615233,0,20,20
4615601,0,20,20
4615602,0,20,20
4616482,0,20,20
5073197,0,20,20
5164386,0,20,20
5166360,0,20,20
5170744,0,20,20
5799501,0,20,20
1090510,0,19,19
3222300,0,19,19
3379794,0,19,19
3425264,0,19,19
3425265,0,19,19
3425284,0,19,19
3426307,0,19,19
3426320,0,19,19
4570348,0,19,19
4596210,0,19,19
4597061,0,19,19
4597088,0,19,19
4614938,0,19,19
4615234,0,19,19
4615235,0,19,19
4615236,0,19,19
4615237,0,19,19
4615239,0,19,19
4615240,0,19,19
4615246,0,19,19
4615617,0,19,19
4615620,0,19,19
4615621,0,19,19
4615646,0,19,19
4617744,0,19,19
4618300,0,19,19
1090636,265,283,18
2026602,0,18,18
2046957,0,18,18
2127277,0,18,18
3009286,0,18,18
3083379,26,44,18
3398697,0,18,18
3414197,114,132,18
4230632,0,18,18
4458085,0,18,18
4523214,0,18,18
4539221,0,18,18
4596372,0,18,18
4597125,0,18,18
4614939,0,18,18
4614940,0,18,18
4615231,0,18,18
4615241,0,18,18
4615242,0,18,18
4615243,0,18,18
4615244,0,18,18
4615604,0,18,18
5069635,0,18,18
5164384,0,18,18
5171199,0,18,18
1006763,0,17,17
1090430,0,17,17
1090590,0,17,17
1090838,0,17,17
1090841,0,17,17
2000008,0,17,17
2023722,0,17,17
2129340,0,17,17
3042667,0,17,17
3213526,0,17,17
3425079,0,17,17
4307666,0,17,17
4458086,0,17,17
4492412,0,17,17
4518802,0,17,17
4528298,0,17,17
4596373,0,17,17
4615058,0,17,17
4615245,0,17,17
4615253,0,17,17
4615283,0,17,17
4618295,0,17,17
4619888,0,17,17
5125571,0,17,17
5127311,0,17,17
5127312,0,17,17
5127313,0,17,17
5127314,0,17,17
5127315,0,17,17
5139624,0,17,17
5162677,0,17,17
5169904,0,17,17
1085631,0,16,16
2128986,0,16,16
2128993,0,16,16
3380054,0,16,16
3426472,0,16,16
3426473,0,16,16
3426919,0,16,16
4062889,0,16,16
4112144,0,16,16
4262826,12,28,16
4531197,0,16,16
4538518,0,16,16
4538555,13,29,16
4542654,85,69,16
4546498,0,16,16
4556446,0,16,16
4596100,0,16,16
4615254,0,16,16
4615605,0,16,16
4615606,0,16,16
4615608,0,16,16
4618485,0,16,16
4618488,0,16,16
4618540,0,16,16
4619885,0,16,16
5169599,25,41,16
1052432,0,15,15
1090167,0,15,15
3113806,0,15,15
3335831,0,15,15
3337845,0,15,15
3425816,0,15,15
3426128,0,15,15
4048423,0,15,15
4216878,0,15,15
4306328,0,15,15
4594828,0,15,15
4594829,0,15,15
4608061,0,15,15
4615162,0,15,15
4615607,0,15,15
4615609,0,15,15
4615611,0,15,15
4618407,0,15,15
4619530,0,15,15
4619542,0,15,15
4619853,0,15,15
1024961,0,14,14
1090507,0,14,14
1090970,0,14,14
3048305,0,14,14
3386797,0,14,14
3424960,0,14,14
3424969,0,14,14
3425815,0,14,14
3425817,0,14,14
3425823,0,14,14
4287568,17,31,14
4288267,19,33,14
4488548,0,14,14
4489380,0,14,14
4519661,0,14,14
4531196,0,14,14
4538346,0,14,14
4538354,0,14,14
4597104,0,14,14
4597106,0,14,14
4604525,0,14,14
4618282,0,14,14
4618354,0,14,14
4618541,0,14,14
4619523,0,14,14
4619531,0,14,14
4619532,0,14,14
4619538,0,14,14
4619540,0,14,14
4619779,0,14,14
4619821,0,14,14
4619840,0,14,14
4619849,0,14,14
4619956,0,14,14
5142532,0,14,14
5169550,0,14,14
5171487,0,14,14
5171488,0,14,14
1060055,0,13,13
1086891,0,13,13
1089884,0,13,13
3223368,0,13,13
3329834,0,13,13
3400446,0,13,13
3425828,0,13,13
3426914,0,13,13
4212225,0,13,13
4255332,19,32,13
4257462,18,31,13
4287039,22,35,13
4484997,0,13,13
4530759,0,13,13
4538653,0,13,13
4542152,278,291,13
4593864,0,13,13
4597105,0,13,13
4618289,0,13,13
4618482,0,13,13
4619533,0,13,13
4619535,0,13,13
4619536,0,13,13
4619539,0,13,13
4619777,0,13,13
4619778,0,13,13
4623640,0,13,13
4623641,0,13,13
5158973,0,13,13
5166310,0,13,13
5169147,0,13,13
5169215,0,13,13
5170117,0,13,13
5170533,0,13,13
5171165,0,13,13
5171166,0,13,13
5171486,0,13,13
5171814,0,13,13
5171851,0,13,13
1082663,0,12,12
1083924,0,12,12
1090166,0,12,12
2015123,0,12,12
2086645,0,12,12
2088595,0,12,12
2123825,0,12,12
2127419,0,12,12
2128737,0,12,12
2129351,0,12,12
2129512,0,12,12
2129538,0,12,12
3042697,0,12,12
3415569,0,12,12
3418181,0,12,12
3425180,0,12,12
3425961,153,165,12
3426216,0,12,12
3426483,0,12,12
4280624,21,33,12
4603248,0,12,12
4605348,0,12,12
4607453,0,12,12
4610366,16,28,12
4615073,0,12,12
4615204,0,12,12
4615205,0,12,12
4616735,0,12,12
4617281,0,12,12
4618445,0,12,12
4618484,0,12,12
4619092,0,12,12
4619093,0,12,12
4619524,0,12,12
4619525,0,12,12
4619526,0,12,12
4619528,0,12,12
4619776,0,12,12
4620263,0,12,12
4795033,62,50,12
5140368,0,12,12
5144501,0,12,12
5153475,0,12,12
5155083,0,12,12
5157072,0,12,12
5157073,0,12,12
5159661,0,12,12
5164984,0,12,12
5164986,0,12,12
5170532,0,12,12
5170595,0,12,12
5171161,0,12,12
5171480,0,12,12
5171485,0,12,12
5171489,0,12,12
5171739,0,12,12
5171919,0,12,12
5172069,0,12,12
1001991,0,11,11
1003822,0,11,11
1078922,0,11,11
1090505,0,11,11
1090508,0,11,11
2006919,0,11,11
2102886,0,11,11
2128643,0,11,11
2128705,0,11,11
2128710,0,11,11
2128990,0,11,11
2129051,0,11,11
2129054,0,11,11
3043197,29,40,11
3425025,0,11,11
3425027,0,11,11
3425945,0,11,11
3426249,0,11,11
3426486,0,11,11
3426758,0,11,11
4002322,0,11,11
4280470,18,29,11
4280773,18,29,11
4287092,18,29,11
4454843,0,11,11
4522052,0,11,11
4546500,0,11,11
4547272,0,11,11
4606041,0,11,11
4606616,0,11,11
4615208,0,11,11
4617333,0,11,11
4620218,0,11,11
5164985,0,11,11
5169164,0,11,11
5170508,0,11,11
5171160,0,11,11
1089861,0,10,10
1090517,0,10,10
2024794,0,10,10
2126612,0,10,10
2128688,0,10,10
2129338,0,10,10
3037822,0,10,10
3322112,0,10,10
3424088,0,10,10
3425824,0,10,10
3425825,0,10,10
3427002,0,10,10
4280937,18,28,10
4287052,21,31,10
4287056,17,27,10
4449978,0,10,10
4513918,10,20,10
4555040,0,10,10
4562049,0,10,10
4605354,0,10,10
4615210,0,10,10
4615592,0,10,10
4615625,0,10,10
4615696,0,10,10
4617738,0,10,10
4617938,0,10,10
4617939,0,10,10
4617940,0,10,10
4618446,0,10,10
4620619,0,10,10
5156988,0,10,10
5169222,0,10,10
5169321,0,10,10
5170513,0,10,10
1090971,0,9,9
2006991,0,9,9
2101565,0,9,9
2127430,42,51,9
2128743,0,9,9
2129349,0,9,9
3399408,0,9,9
3399410,0,9,9
3399967,0,9,9
4280770,24,33,9
4282984,22,31,9
4283092,22,31,9
4508847,12,21,9
4519813,0,9,9
4614944,0,9,9
4617192,0,9,9
5167676,0,9,9
5169217,0,9,9
5169741,0,9,9
1088258,0,8,8
1090509,0,8,8
1795027,0,8,8
2123238,0,8,8
2128988,0,8,8
3380793,0,8,8
4280932,20,28,8
4282981,23,31,8
4283869,22,30,8
4283874,22,30,8
4439598,0,8,8
4513680,9,17,8
4514003,13,21,8
4519691,0,8,8
4593579,10,18,8
4607809,0,8,8
4615044,0,8,8
4618364,0,8,8
4795034,0,8,8
5159977,0,8,8
5170352,0,8,8
1084590,0,7,7
1086433,0,7,7
1795001,0,7,7
1795013,0,7,7
3421317,0,7,7
4282825,22,29,7
4282880,23,30,7
4569136,10,17,7
5169218,0,7,7
1795020,0,6,6
4282941,21,27,6
4513676,13,19,6
4528371,10,16,6
5169219,0,6,6
1090200,147,152,5
4282683,21,26,5
4282942,22,27,5
4282946,22,27,5
4282980,23,28,5
4514147,11,16,5
4569134,12,17,5
4569327,9,14,5
4593363,19,24,5
4435065,12,16,4
4513932,10,14,4
4614485,12,16,4
4615474,9,13,4
1007803,49,46,3
4037077,22,25,3
4508539,10,13,3
4611564,11,14,3
4026844,17,19,2
4283838,26,28,2
